2020/03/12 02:13:26 [error] 6#6: *1 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.28.0.1, server: localhost, request: "GET / HTTP/1.1", upstream: "fastcgi://172.28.0.4:9000", host: "localhost"
2020/03/17 08:50:46 [warn] 6#6: *143 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/4/00/0000000004 while reading upstream, client: 172.22.0.1, server: localhost, request: "POST /engine/hotelList?fields=all&language=CHI&from=1&to=3 HTTP/1.1", upstream: "fastcgi://172.22.0.5:9000", host: "localhost"
2020/03/17 08:52:44 [warn] 6#6: *146 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/5/00/0000000005 while reading upstream, client: 172.22.0.1, server: localhost, request: "POST /engine/hotelList?fields=all&language=CHI&from=1&%E2%80%99to%E2%80%98=3 HTTP/1.1", upstream: "fastcgi://172.22.0.5:9000", host: "localhost"
2020/03/17 08:53:30 [warn] 6#6: *146 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/6/00/0000000006 while reading upstream, client: 172.22.0.1, server: localhost, request: "POST /engine/hotelList?fields=all&language=CHI&from=1&to=3 HTTP/1.1", upstream: "fastcgi://172.22.0.5:9000", host: "localhost"
2020/03/17 08:57:04 [warn] 6#6: *150 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/7/00/0000000007 while reading upstream, client: 172.22.0.1, server: localhost, request: "POST /engine/hotelList?fields=all&language=CHI&from=1&to=3&codes=1 HTTP/1.1", upstream: "fastcgi://172.22.0.5:9000", host: "localhost"
2020/03/17 09:01:13 [warn] 6#6: *153 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/8/00/0000000008 while reading upstream, client: 172.22.0.1, server: localhost, request: "POST /engine/hotelList?fields=all&language=CHI&from=1&to=3&codes=5 HTTP/1.1", upstream: "fastcgi://172.22.0.5:9000", host: "localhost"
2020/03/17 09:01:48 [warn] 6#6: *153 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/9/00/0000000009 while reading upstream, client: 172.22.0.1, server: localhost, request: "POST /engine/hotelList?language=CHI&from=1&to=3&codes=5 HTTP/1.1", upstream: "fastcgi://172.22.0.5:9000", host: "localhost"
2020/03/18 06:51:52 [warn] 6#6: *81 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/1/00/0000000001 while reading upstream, client: 172.21.0.1, server: localhost, request: "POST /engine/hotelList?fields=all&language=ENG&from=1&to=100 HTTP/1.1", upstream: "fastcgi://172.21.0.5:9000", host: "localhost"
2020/03/18 09:34:55 [warn] 6#6: *199 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/2/00/0000000002 while reading upstream, client: 172.21.0.1, server: localhost, request: "POST /engine/hotelList?fields=all&language=ENG&from=1&to=100 HTTP/1.1", upstream: "fastcgi://172.21.0.5:9000", host: "localhost"
2020/03/19 00:52:50 [error] 6#6: *2 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.21.0.1, server: localhost, request: "GET / HTTP/1.1", upstream: "fastcgi://172.21.0.5:9000", host: "localhost"
2020/03/19 01:37:20 [warn] 6#6: *19 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/1/00/0000000001 while reading upstream, client: 172.21.0.1, server: localhost, request: "POST /engine/availability HTTP/1.1", upstream: "fastcgi://172.21.0.5:9000", host: "localhost"
2020/03/19 01:46:49 [warn] 6#6: *32 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/2/00/0000000002 while reading upstream, client: 172.21.0.1, server: localhost, request: "POST /engine/availability HTTP/1.1", upstream: "fastcgi://172.21.0.5:9000", host: "localhost"
2020/03/19 01:58:33 [warn] 6#6: *36 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/3/00/0000000003 while reading upstream, client: 172.21.0.1, server: localhost, request: "POST /engine/hotelList?fields=all&language=ENG&from=1&to=100 HTTP/1.1", upstream: "fastcgi://172.21.0.5:9000", host: "localhost"
2020/03/19 02:36:44 [warn] 6#6: *42 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/4/00/0000000004 while reading upstream, client: 172.21.0.1, server: localhost, request: "POST /engine/hotelList?fields=all&language=ENG&from=1&to=100 HTTP/1.1", upstream: "fastcgi://172.21.0.5:9000", host: "localhost"
2020/03/19 05:34:12 [warn] 6#6: *55 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/5/00/0000000005 while reading upstream, client: 172.21.0.1, server: localhost, request: "GET /engine/hbContent HTTP/1.1", upstream: "fastcgi://172.21.0.5:9000", host: "localhost"
2020/03/19 07:11:31 [warn] 6#6: *77 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/6/00/0000000006 while reading upstream, client: 172.21.0.1, server: localhost, request: "GET /engine/hbContentDetail HTTP/1.1", upstream: "fastcgi://172.21.0.5:9000", host: "localhost"
2020/03/19 10:50:37 [error] 6#6: *81 FastCGI sent in stderr: "PHP message: PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 331776 bytes) in /web/vendor/dingo/api/src/Http/Response/Format/JsonOptionalFormatting.php on line 84PHP message: PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 32768 bytes) in /web/vendor/symfony/debug/Exception/FatalErrorException.php on line 1" while reading response header from upstream, client: 172.21.0.1, server: localhost, request: "POST /engine/availability HTTP/1.1", upstream: "fastcgi://172.21.0.5:9000", host: "localhost"
2020/03/19 10:51:03 [error] 6#6: *81 FastCGI sent in stderr: "PHP message: PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 20480 bytes) in /web/vendor/dingo/api/src/Http/Response/Format/Json.php on line 71PHP message: PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 20480 bytes) in /web/vendor/laravel/lumen-framework/src/Concerns/RegistersExceptionHandlers.php on line 65" while reading response header from upstream, client: 172.21.0.1, server: localhost, request: "POST /engine/availability HTTP/1.1", upstream: "fastcgi://172.21.0.5:9000", host: "localhost"
2020/03/20 01:05:25 [warn] 6#6: *5 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/1/00/0000000001 while reading upstream, client: 172.22.0.1, server: localhost, request: "GET /engine/hbContentDetail HTTP/1.1", upstream: "fastcgi://172.22.0.5:9000", host: "localhost"
2020/03/20 02:39:14 [warn] 6#6: *8 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/2/00/0000000002 while reading upstream, client: 172.22.0.1, server: localhost, request: "GET /engine/hbContentDetail HTTP/1.1", upstream: "fastcgi://172.22.0.5:9000", host: "localhost"
2020/03/20 06:28:46 [error] 6#6: *11 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 172.22.0.1, server: localhost, request: "GET /engine/hbContentDetail HTTP/1.1", upstream: "fastcgi://172.22.0.5:9000", host: "localhost"
2020/03/23 07:31:18 [error] 6#6: *72 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 172.21.0.1, server: localhost, request: "GET /engine/importFacilities HTTP/1.1", upstream: "fastcgi://172.21.0.5:9000", host: "localhost"
2020/03/24 01:24:25 [warn] 7#7: *2 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/1/00/0000000001 while reading upstream, client: 172.21.0.1, server: localhost, request: "GET /engine/roomType HTTP/1.1", upstream: "fastcgi://172.21.0.5:9000", host: "localhost"
2020/03/25 01:20:01 [error] 6#6: *1 FastCGI sent in stderr: "PHP message: PHP Warning:  require_once(/web/bootstrap/../vendor/autoload.php): failed to open stream: No such file or directory in /web/bootstrap/app.php on line 3PHP message: PHP Fatal error:  require_once(): Failed opening required '/web/bootstrap/../vendor/autoload.php' (include_path='.:/usr/local/lib/php') in /web/bootstrap/app.php on line 3" while reading response header from upstream, client: 172.22.0.1, server: localhost, request: "GET / HTTP/1.1", upstream: "fastcgi://172.22.0.5:9000", host: "localhost"
